case,expected,raised,passed
non_normalized_state,ValueError,ValueError,True
wrong_shape_state,ValueError,ValueError,True
nonfinite_state,ValueError,ValueError,True
nonfinite_parameter,ValueError,ValueError,True
unknown_parameter_name,ValueError,ValueError,True
wrong_length_vector_parameters,ValueError,ValueError,True
unsupported_representation,ValueError,ValueError,True
bad_n_wires_zero,ValueError,ValueError,True
bad_n_wires_bool,ValueError,ValueError,True
custom_connections_without_one_column,ValueError,ValueError,True
legacy_gkp_execution_rejected,NotImplementedError,NotImplementedError,True
unsupported_physical_angle,NotImplementedError,UnsupportedPhysicalMeasurement,True
unsupported_output_basis,NotImplementedError,NotImplementedError,True
bad_shots_zero,ValueError,ValueError,True
bad_seed_negative,ValueError,ValueError,True
bad_mode,ValueError,ValueError,True
conditional_requires_all_outcomes,ValueError,ValueError,True
conditional_requires_shots_one,ValueError,ValueError,True
unsupported_backend,ValueError,ValueError,True
unsupported_decoder,ValueError,ValueError,True
infeasible_dimension_budget,"(<class 'ValueError'>, <class 'Exception'>)",TypeError,True
physical_measurement_family_unsupported,ValueError,ValueError,True
physical_continuous_init_rejected,ValueError,ValueError,True
physical_run_batch_unsupported,NotImplementedError,NotImplementedError,True
physical_unitary_unsupported,NotImplementedError,NotImplementedError,True
dense_unitary_too_many_wires,ValueError,ValueError,True
initialize_bad_scale,ValueError,ValueError,True
freeze_unknown_name,ValueError,ValueError,True
freeze_nonfinite_value,ValueError,ValueError,True
