COMPLETED  01_logical_foundations/01_triangle_anatomy.py (4.9s; restart requested)
COMPLETED  01_logical_foundations/02_table_one_identities.py (8.0s; restart requested)
COMPLETED  01_logical_foundations/03_entangling_identity.py (5.8s; restart requested)
COMPLETED  01_logical_foundations/04_adaptive_branches.py (5.9s; restart requested)
COMPLETED  01_logical_foundations/05_brute_force_agreement.py (6.8s; restart requested)
COMPLETED  01_logical_foundations/06_batch_consistency.py (5.2s; restart requested)
COMPLETED  02_mentpy_validation/07_semantic_topology.py (9.5s; restart requested)
COMPLETED  02_mentpy_validation/08_flow_dependency_order.py (8.5s; restart requested)
COMPLETED  02_mentpy_validation/09_state_density_agreement.py (7.0s; restart requested)
COMPLETED  02_mentpy_validation/10_trainability_audit.py (6.1s; restart requested)
COMPLETED  02_mentpy_validation/11_kernel_gram_agreement.py (6.8s; restart requested)
COMPLETED  02_mentpy_validation/12_instrument_agreement.py (6.6s; restart requested)
COMPLETED  02_mentpy_validation/13_runtime_scaling.py (8.0s; restart requested)
COMPLETED  03_parameters_and_contracts/14_parameter_contracts.py (5.6s; restart requested)
COMPLETED  03_parameters_and_contracts/15_persistence_roundtrip.py (5.0s; restart requested)
COMPLETED  03_parameters_and_contracts/16_invalid_input_matrix.py (5.3s; restart requested)
COMPLETED  03_parameters_and_contracts/17_seeded_reproducibility.py (198.8s; restart requested)
COMPLETED  04_gradients_and_training/18_parameter_shift_vs_fd.py (4.2s; restart requested)
COMPLETED  04_gradients_and_training/19_optimizer_convergence.py (4.1s; restart requested)
COMPLETED  04_gradients_and_training/20_haar_gate_learning.py (40.5s; restart requested)
COMPLETED  04_gradients_and_training/21_ising_gate_learning.py (46.3s; restart requested)
COMPLETED  04_gradients_and_training/22_gate_learning_sensitivity.py (204.7s; restart requested)
COMPLETED  04_gradients_and_training/23_classifier_verification.py (23.2s; restart requested)
COMPLETED  04_gradients_and_training/24_regressor_verification.py (103.3s; restart requested)
COMPLETED  05_kernels_and_learning/25_kernel_feature_state.py (4.5s; restart requested)
COMPLETED  05_kernels_and_learning/26_kernel_properties.py (6.6s; restart requested)
COMPLETED  05_kernels_and_learning/27_kernel_classification.py (10.6s; restart requested)
COMPLETED  05_kernels_and_learning/28_kernel_robustness.py (9.6s; restart requested)
COMPLETED  06_expressivity_and_diagnostics/29_instrument_diagnostics.py (5.0s; restart requested)
COMPLETED  06_expressivity_and_diagnostics/30_concurrence.py (4.6s; restart requested)
COMPLETED  06_expressivity_and_diagnostics/31_qfi.py (4.4s; restart requested)
COMPLETED  06_expressivity_and_diagnostics/32_lie_closure.py (4.6s; restart requested)
COMPLETED  06_expressivity_and_diagnostics/33_fisher_spectra.py (5.8s; restart requested)
COMPLETED  07_gkp_resources/34_gkp_codeword_projection.py (10.8s; restart requested)
COMPLETED  08_physical_lowering/35_capability_map.py (4.2s; restart requested)
COMPLETED  08_physical_lowering/36_lowering_preservation.py (4.3s; restart requested)
COMPLETED  08_physical_lowering/37_pauli_frame_validation.py (4.7s; restart requested)
COMPLETED  08_physical_lowering/38_public_pattern_comparison.py (5.4s; restart requested)
COMPLETED  09_piquasso_validation/39_raw_piquasso_state_prep.py (6.3s; restart requested)
COMPLETED  09_piquasso_validation/40_raw_piquasso_cz.py (107.7s; restart requested)
COMPLETED  09_piquasso_validation/41_conditional_execution_comparison.py (9.7s; restart requested)
COMPLETED  09_piquasso_validation/42_abstraction_overhead.py (13.4s; restart requested)
COMPLETED  10_physical_statistics/43_decoded_statistics.py (25.1s; restart requested)
COMPLETED  10_physical_statistics/44_shot_convergence.py (537.9s; restart requested)
COMPLETED  10_physical_statistics/45_joint_readout_correlations.py (21.4s; restart requested)
COMPLETED  10_physical_statistics/46_hard_vs_soft_decoding.py (4.1s; restart requested)
COMPLETED  11_convergence/47_resource_axis_convergence.py (12.9s; restart requested)
COMPLETED  10_physical_statistics/48_physical_training_stability.py (679.7s; restart requested)
COMPLETED  12_performance/49_aggregate_performance_figure.py (2.8s; restart requested)

=== run_all_full summary ===
passed=49 failed=0 resumed=0 total_wall_seconds=2240.7
