n_wires,n_layers,one_column,restrict_trainable,mentpy_nodes,muta_nodes,mentpy_edges,muta_edges,symmetric_difference,inputs_match,outputs_match
1,1,False,False,5,5,4,4,0,True,True
1,1,False,True,5,5,4,4,0,True,True
1,1,True,False,5,5,4,4,0,True,True
1,1,True,True,5,5,4,4,0,True,True
1,2,False,False,9,9,8,8,0,True,True
1,2,False,True,9,9,8,8,0,True,True
1,2,True,False,9,9,8,8,0,True,True
1,2,True,True,9,9,8,8,0,True,True
2,1,False,False,18,18,20,20,0,True,True
2,1,False,True,18,18,20,20,0,True,True
2,1,True,False,10,10,10,10,0,True,True
2,1,True,True,10,10,10,10,0,True,True
2,2,False,False,34,34,40,40,0,True,True
2,2,False,True,34,34,40,40,0,True,True
2,2,True,False,18,18,20,20,0,True,True
2,2,True,True,18,18,20,20,0,True,True
3,1,False,False,39,39,48,48,0,True,True
3,1,False,True,39,39,48,48,0,True,True
3,1,True,False,15,15,16,16,0,True,True
3,1,True,True,15,15,16,16,0,True,True
3,2,False,False,75,75,96,96,0,True,True
3,2,False,True,75,75,96,96,0,True,True
3,2,True,False,27,27,32,32,0,True,True
3,2,True,True,27,27,32,32,0,True,True
